Team,Games,Completions,Attempts,Yards,Average Intended Air Yards,Average Intended Air Yards per Attempt,Completed Air Yards,Completed Air Yards per Completion,Completed Air Yards per Attempt,Yards After Catch,Yards After Catch per Completion
Atlanta Falcons,17,257,415,2699,4011,9.7,1698,6.6,4.1,1229,4.8
Buffalo Bills,16,361,574,4129,5262,9.2,2694,7.5,4.7,1597,4.4
Carolina Panthers,17,267,457,2996,3303,7.2,1465,5.5,3.2,1781,6.7
Chicago Bears,17,223,377,2219,3437,9.1,1449,6.5,3.8,1149,5.2
Cincinnati Bengals,16,418,610,4240,4152,6.8,2350,5.6,3.9,2170,5.2
Cleveland Browns,17,335,540,3444,4379,8.1,2071,6.2,3.8,1639,4.9
Indianapolis Colts,17,398,604,3432,3828,6.3,2056,5.2,3.4,1798,4.5
Arizona Cardinals,17,433,664,3626,4599,6.9,1908,4.4,2.9,2058,4.8
Dallas Cowboys,17,355,556,3736,4497,8.1,2252,6.3,4.1,1659,4.7
Denver Broncos,17,345,571,3592,5004,8.8,2019,5.9,3.5,1988,5.8
Detroit Lions,17,383,588,4281,4112,7.0,2157,5.6,3.7,2287,6.0
Green Bay Packers,17,364,563,3632,4492,8.0,1894,5.2,3.4,1996,5.5
Houston Texans,17,352,579,3344,4297,7.4,1787,5.1,3.1,1855,5.3
Jacksonville Jaguars,17,394,596,3959,4386,7.4,2126,5.4,3.6,2022,5.1
Kansas City Chiefs,17,435,651,5062,4683,7.2,2397,5.5,3.7,2853,6.6
Miami Dolphins,17,368,584,4511,5237,9.0,2969,8.1,5.1,1796,4.9
Minnesota Vikings,17,448,672,4484,4994,7.4,2692,6.0,4.0,2126,4.7
New Orleans Saints,17,338,512,3692,4543,8.9,2332,6.9,4.6,1637,4.8
New England Patriots,17,358,540,3536,4140,7.7,1992,5.6,3.7,1823,5.1
New York Giants,17,346,520,3157,3327,6.4,1733,5.0,3.3,1698,4.9
New York Jets,17,357,627,3723,5120,8.2,2172,6.1,3.5,1868,5.2
Tennessee Titans,17,285,456,2914,3541,7.8,1690,5.9,3.7,1537,5.4
Philadelphia Eagles,17,350,536,4105,4413,8.2,2340,6.7,4.4,2024,5.8
Pittsburgh Steelers,17,364,571,3411,4650,8.1,2198,6.0,3.8,1463,4.0
Las Vegas Raiders,17,359,586,3934,5338,9.1,2398,6.7,4.1,1784,5.0
Los Angeles Rams,17,347,531,3108,3708,7.0,1708,4.9,3.2,1798,5.2
Baltimore Ravens,17,300,488,3040,3979,8.2,1839,6.1,3.8,1363,4.5
Los Angeles Chargers,17,485,711,4584,4493,6.3,2235,4.6,3.1,2556,5.3
Seattle Seahawks,17,399,573,3934,4335,7.6,2506,6.3,4.4,1776,4.5
San Francisco 49ers,17,338,512,3856,3474,6.8,1809,5.4,3.5,2240,6.6
Tampa Bay Buccaneers,17,499,751,4586,5011,6.7,2374,4.8,3.2,2372,4.8
Washington Commanders,17,344,554,3472,4415,8.0,2098,6.1,3.8,1685,4.9
