Player,Team,Pass Targets,Receptions,Catch Percentage,Passing Yards,Passing Touchdowns,Target Percentage,Red Zone Targets,Red Zone Receptions,Red Zone Catch Percentage,Red Zone Yards,Red Zone Touchdowns,Red Zone Target Percentage,Player Link
Travis Kelce,KAN,30,19,0.6333,102,10,0.28,19,13,0.6842,44,8,0.297,All Travis Kelce red zone receiving plays
Justin Jefferson,MIN,28,14,0.5,106,6,0.28600000000000003,19,9,0.47369999999999995,59,5,0.365,All Justin Jefferson red zone receiving plays
D.K. Metcalf,SEA,27,8,0.2963,62,5,0.40299999999999997,10,3,0.3,15,3,0.37,All D.K. Metcalf red zone receiving plays
Ja'Marr Chase,CIN,24,14,0.5832999999999999,113,5,0.276,9,3,0.3333,19,3,0.257,All Ja'Marr Chase red zone receiving plays
Stefon Diggs,BUF,23,11,0.4783,91,7,0.299,12,5,0.4167,21,4,0.34299999999999997,All Stefon Diggs red zone receiving plays
Austin Ekeler,LAC,23,18,0.7826000000000001,65,5,0.24,13,12,0.9231,0,3,0.28300000000000003,All Austin Ekeler red zone receiving plays
Davante Adams,LVR,22,10,0.4545,39,4,0.319,12,5,0.4167,18,4,0.364,All Davante Adams red zone receiving plays
Christian Kirk,JAX,22,12,0.5455,97,7,0.289,10,6,0.6,33,6,0.313,All Christian Kirk red zone receiving plays
Amon-Ra St. Brown,DET,21,13,0.619,98,6,0.244,7,5,0.7143,20,4,0.171,All Amon-Ra St. Brown red zone receiving plays
Adam Thielen,MIN,21,14,0.6667000000000001,78,5,0.214,11,6,0.5455,13,4,0.212,All Adam Thielen red zone receiving plays
David Njoku,CLE,20,12,0.6,87,4,0.28600000000000003,7,3,0.4286,21,2,0.233,All David Njoku red zone receiving plays
Garrett Wilson,NYJ,19,5,0.2632,35,3,0.302,10,3,0.3,15,2,0.35700000000000004,All Garrett Wilson red zone receiving plays
Russell Gage,TAM,18,12,0.6667000000000001,76,5,0.188,9,6,0.6667000000000001,25,5,0.184,All Russell Gage red zone receiving plays
T.J. Hockenson,2TM,18,10,0.5556,61,5,,8,3,0.375,10,3,,All T.J. Hockenson red zone receiving plays
Zay Jones,JAX,18,8,0.44439999999999996,40,3,0.237,7,4,0.5714,14,2,0.21899999999999997,All Zay Jones red zone receiving plays
Mark Andrews,BAL,17,10,0.5882000000000001,62,5,0.243,6,3,0.5,3,2,0.207,All Mark Andrews red zone receiving plays
Allen Lazard,GNB,17,9,0.5294,50,4,0.23,10,5,0.5,15,3,0.313,All Allen Lazard red zone receiving plays
A.J. Brown,PHI,16,8,0.5,82,4,0.34,8,3,0.375,21,2,0.4,All A.J. Brown red zone receiving plays
Amari Cooper,CLE,16,6,0.375,54,6,0.22899999999999998,7,3,0.4286,17,3,0.233,All Amari Cooper red zone receiving plays
Tyler Higbee,LAR,16,8,0.5,61,3,0.242,10,5,0.5,31,3,0.256,All Tyler Higbee red zone receiving plays
Diontae Johnson,PIT,16,6,0.375,38,0,0.28600000000000003,5,2,0.4,8,0,0.172,All Diontae Johnson red zone receiving plays
Drake London,ATL,16,8,0.5,59,4,0.33299999999999996,9,3,0.3333,13,3,0.321,All Drake London red zone receiving plays
Dalton Schultz,DAL,16,8,0.5,59,5,0.239,8,6,0.75,39,4,0.22899999999999998,All Dalton Schultz red zone receiving plays
JuJu Smith-Schuster,KAN,16,12,0.75,73,1,0.15,4,2,0.5,2,1,0.063,All JuJu Smith-Schuster red zone receiving plays
Brandon Aiyuk,SFO,15,10,0.6667000000000001,75,6,0.24600000000000002,4,3,0.75,12,3,0.133,All Brandon Aiyuk red zone receiving plays
Keenan Allen,LAC,15,9,0.6,56,3,0.156,7,3,0.4286,9,2,0.152,All Keenan Allen red zone receiving plays
