Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
1,Justin Tucker*,BAL,33,K,17,0,,,13,13,11,11,5,4,14,9,43,37,58,86.0%,32,31,96.9%,86,5449,60,69.8%,63.4
2,Ryan Succop,TAM,36,K,17,0,,,11,10,8,7,12,12,7,2,38,31,54,81.6%,25,24,96.0%,,,,,
3,Jason Myers*,SEA,31,K,17,0,,,9,9,16,15,6,4,6,6,37,34,56,91.9%,42,41,97.6%,93,5839,54,58.1%,62.8
4,Daniel Carlson+,LVR,27,K,17,0,,,9,9,11,11,4,3,13,11,37,34,57,91.9%,36,35,97.2%,90,5548,57,63.3%,61.6
5,Nick Folk,NWE,38,K,17,0,1,1,9,9,8,8,14,10,5,4,37,32,54,86.5%,35,32,91.4%,33,1953,3,9.1%,59.2
6,Younghoe Koo,ATL,28,K,17,0,,,9,9,7,7,10,9,11,7,37,32,54,86.5%,35,33,94.3%,,,,,
7,Greg Zuerlein,NYJ,35,K,17,0,,,5,5,10,10,11,9,11,6,37,30,60,81.1%,29,28,96.6%,56,3590,47,83.9%,64.1
8,Brandon McManus,DEN,31,K,17,0,,,7,6,6,4,10,10,13,8,36,28,55,77.8%,27,25,92.6%,73,4580,51,69.9%,62.7
9,Chase McLaughlin,IND,26,K,16,0,,,7,7,6,5,11,9,12,9,36,30,54,83.3%,21,21,100.0%,72,4682,38,52.8%,65.0
10,Riley Patterson,JAX,23,K,17,0,,,8,8,11,10,13,10,3,2,35,30,53,85.7%,37,36,97.3%,88,5492,44,50.0%,62.4
11,Eddy Pineiro,CAR,27,K,17,0,,,2,2,17,16,14,13,2,2,35,33,54,94.3%,32,30,93.8%,83,5146,46,55.4%,62.0
12,Greg Joseph,MIN,28,K,17,0,,,10,10,5,5,8,7,10,4,33,26,61,78.8%,46,40,87.0%,89,5639,54,60.7%,63.4
13,Brett Maher,DAL,33,K,17,0,,,9,9,5,5,7,6,11,9,32,29,60,90.6%,53,50,94.3%,100,6506,78,78.0%,65.1
14,Robbie Gould,SFO,40,K,17,0,,,14,13,5,5,11,7,2,2,32,27,51,84.4%,51,50,98.0%,95,5983,47,49.5%,63.0
15,Jason Sanders,MIA,27,K,17,0,,,6,5,7,7,13,12,6,2,32,26,55,81.3%,44,41,93.2%,88,5486,61,69.3%,62.3
16,Cade York,CLE,21,K,17,0,,,5,5,12,9,8,6,7,4,32,24,58,75.0%,37,35,94.6%,81,5032,50,61.7%,62.1
17,Graham Gano,NYG,35,K,17,0,,,2,2,10,9,11,10,9,8,32,29,57,90.6%,34,32,94.1%,84,5117,50,59.5%,60.9
